16:27:10 [src.strategy.status] [VCIG] $0.67 (-0.1%) | SL=$0.63 TP=$0.74
16:27:10 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:27:11 [src.strategy.status] [VCIG] $0.66 (-1.0%) | SL=$0.63 TP=$0.74
16:27:18 [src.strategy.status] [VCIG] $0.66 (-1.0%) | SL=$0.63 TP=$0.74
16:27:18 [src.strategy.status] [VCIG] $0.67 (-0.1%) | SL=$0.63 TP=$0.74
16:27:19 [src.strategy.status] [VCIG] $0.67 (-0.1%) | SL=$0.63 TP=$0.74
16:27:19 [src.strategy.status] [VCIG] $0.67 (-0.1%) | SL=$0.63 TP=$0.74
16:27:20 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:27:21 [src.strategy.status] [VERO] $2.39 (+0.4%) | SL=$2.26 TP=$2.62
16:27:21 [src.strategy.status] [VERO] $2.42 (+1.7%) | SL=$2.26 TP=$2.62
16:27:23 [src.strategy.status] [VERO] $2.39 (+0.4%) | SL=$2.26 TP=$2.62
16:27:24 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:27:24 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:27:24 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:27:24 [src.strategy.status] [VCIG] $0.65 (-2.9%) | SL=$0.63 TP=$0.74
16:27:26 [src.strategy.status] [VERO] $2.39 (+0.4%) | SL=$2.26 TP=$2.62
16:27:26 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:27:27 [src.strategy.status] [VCIG] $0.65 (-2.9%) | SL=$0.63 TP=$0.74
16:27:27 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:27:27 [src.strategy.status] [VERO] $2.41 (+1.3%) | SL=$2.26 TP=$2.62
16:27:27 [src.strategy.status] [VERO] $2.41 (+1.3%) | SL=$2.26 TP=$2.62
16:27:27 [src.strategy.status] [VERO] $2.41 (+1.3%) | SL=$2.26 TP=$2.62
16:27:28 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:27:28 [src.strategy.status] [VERO] $2.41 (+1.3%) | SL=$2.26 TP=$2.62
16:27:29 [src.strategy.status] [VERO] $2.41 (+1.3%) | SL=$2.26 TP=$2.62
16:27:29 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:27:30 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:27:30 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:27:32 [src.strategy.status] [VCIG] $0.65 (-2.7%) | SL=$0.63 TP=$0.74
16:27:32 [src.strategy.status] [VCIG] $0.65 (-2.7%) | SL=$0.63 TP=$0.74
16:27:32 [src.strategy.status] [VCIG] $0.66 (-2.2%) | SL=$0.63 TP=$0.74
16:27:33 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:27:33 [src.strategy.status] [VERO] $2.41 (+1.3%) | SL=$2.26 TP=$2.62
16:27:34 [src.strategy.status] [VCIG] $0.66 (-2.2%) | SL=$0.63 TP=$0.74
16:27:34 [src.strategy.status] [VCIG] $0.65 (-2.5%) | SL=$0.63 TP=$0.74
16:27:34 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:27:36 [src.strategy.status] [VCIG] $0.65 (-2.5%) | SL=$0.63 TP=$0.74
16:27:36 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:27:37 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:27:39 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:27:39 [src.strategy.status] [VCIG] $0.65 (-3.3%) | SL=$0.63 TP=$0.74
16:27:41 [src.strategy.status] [VCIG] $0.65 (-3.3%) | SL=$0.63 TP=$0.74
16:27:41 [src.strategy.status] [VCIG] $0.65 (-3.3%) | SL=$0.63 TP=$0.74
16:27:43 [src.strategy.status] [VCIG] $0.65 (-3.3%) | SL=$0.63 TP=$0.74
16:27:43 [src.strategy.status] [VCIG] $0.65 (-3.3%) | SL=$0.63 TP=$0.74
16:27:44 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:27:44 [src.strategy.status] [VERO] $2.40 (+0.9%) | SL=$2.26 TP=$2.62
16:27:45 [src.strategy.status] [VCIG] $0.65 (-3.6%) | SL=$0.63 TP=$0.74
16:27:46 [src.strategy.status] [VCIG] $0.65 (-3.6%) | SL=$0.63 TP=$0.74
16:27:46 [src.strategy.status] [VCIG] $0.65 (-3.6%) | SL=$0.63 TP=$0.74
16:27:47 [src.strategy.status] [VCIG] $0.65 (-3.7%) | SL=$0.63 TP=$0.74
16:27:49 [src.strategy.status] [VCIG] $0.65 (-3.7%) | SL=$0.63 TP=$0.74
16:27:49 [src.strategy.status] [VCIG] $0.64 (-4.4%) | SL=$0.63 TP=$0.74
16:27:50 [src.strategy.status] [VCIG] $0.65 (-3.7%) | SL=$0.63 TP=$0.74
16:27:50 [src.strategy.status] [VCIG] $0.65 (-3.7%) | SL=$0.63 TP=$0.74
